Distributor,ChemistType,Chemist,Products,M0123_Units,M0223_Units,M0323_Units,M0423_Units,M0523_Units,M0623_Units,M0723_Units,M0823_Units,M0923_Units,M1023_Units,M1123_Units,M1223_Units,total2023,M0124_Units,M0224_Units,M0324_Units,M0424_Units,M0524_Units,M0624_Units,M0724_Units,M0824_Units,M0924_Units,M1024_Units,M1124_Units,M1224_Units,M0125_Units,M0225_Units,M0325_Units,M0425_Units,M0525_Units,M0625_Units,M0725_Units,M0825_Units,M0925_Units,M1025_Units,M1125_Units,M1225_Units,M0123_Value,M0223_Value,M0323_Value,M0423_Value,M0523_Value,M0623_Value,M0723_Value,M0823_Value,M0923_Value,M1023_Value,M1123_Value,M1223_Value,M0124_Value,M0224_Value,M0324_Value,M0424_Value,M0524_Value,M0624_Value,M0724_Value,M0824_Value,M0924_Value,M1024_Value,M1124_Value,M1224_Value,M0125_Value,M0225_Value,M0325_Value,M0425_Value,M0525_Value,M0625_Value,M0725_Value,M0825_Value,M0925_Value,M1025_Value,M1125_Value,M1225_Value
Distributor-1,R,Chemist-13946,Prod-1, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-18656,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-4731,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-22769,Prod-1, -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , 4 , -   , -   , 1 , 2 , 2 , -   , 2 , 2 , -   , -   , 1 , 1 , 1 , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , 636 ," 1,273 "," 1,273 ", -   ," 1,273 "," 1,273 ", -   , -   , 636 , 636 , 636 , -   , -   , -   , -   , -   , 636 , 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-23239,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-23684,Prod-1, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , 636 , -   , 636 , -   , -   , 636 , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-23731,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-1474,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-27562,Prod-1, -   , 2 , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   ," 1,059 ", -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-17585,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-3327,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-14077,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-3374,Prod-1, 4 , -   , 2 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 11 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , 2 , -   , 2 , -   , 3 , 8 , 3 , -   , -   , -   , -   ," 2,119 ", -   ," 1,059 ", -   , -   , -   , -   ," 2,648 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   ," 1,273 ", -   ," 1,273 ", -   ," 1,909 "," 5,091 "," 1,909 ", -   , -   , -   , -   
Distributor-1,R,Chemist-32669,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,D,Chemist-6992,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,545 ", -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   
Distributor-1,R,Chemist-33777,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,545 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,D,Chemist-34667,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-15413,Prod-1, 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , -   , 3 , -   , 2 , -   , 2 , -   , -   , 3 , 4 , -   , -   , -   , 5 , -   , -   , (1), -   , -   , -   , -   , -   ," 1,589 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", -   ," 1,909 ", -   ," 1,273 ", -   ," 1,273 ", -   , -   ," 1,909 "," 2,545 ", -   , -   , -   ," 3,182 ", -   , -   , (636), -   , -   , -   , -   , -   
Distributor-1,R,Chemist-35882,Prod-1, -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-35977,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-10613,Prod-1, -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-38741,Prod-1, -   , -   , -   , -   , 2 , -   , -   , 2 , 4 , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   ," 1,059 "," 2,119 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,D,Chemist-38962,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-253,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 "," 1,909 "," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-39514,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-39950,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-26611,Prod-1, 6 , -   , 3 , -   , 5 , 10 , -   , 10 , -   , -   , -   , -   , 34 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,178 ", -   ," 1,589 ", -   ," 2,648 "," 5,296 ", -   ," 5,296 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-41292,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-22952,Prod-1, -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 3 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   , -   , 636 , 636 , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-42244,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 4 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,182 "," 2,545 ", -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-31408,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-33488,Prod-1, -   , -   , 1 , 1 , 1 , 3 , -   , 3 , 1 , 2 , -   , 1 , 13 , 1 , 2 , 2 , -   , 2 , 1 , -   , 1 , -   , 1 , -   , -   , 2 , -   , 2 , 1 , 1 , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , 530 , 530 , 530 ," 1,589 ", -   ," 1,589 ", 530 ," 1,273 ", -   , 636 , 636 ," 1,273 "," 1,273 ", -   ," 1,273 ", 636 , -   , 636 , -   , 636 , -   , -   ," 1,273 ", -   ," 1,273 ", 636 , 636 , -   ," 1,273 ", 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-44011,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-16668,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-8502,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , (1), -   , 3 , -   , 3 , 3 , -   , -   , -   , -   , -   , 3 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,727 ", (636), -   ," 1,909 ", -   ," 1,909 "," 1,909 ", -   , -   , -   , -   , -   ," 1,909 "," 1,909 ", -   , -   , -   , -   
Distributor-1,R,Chemist-23362,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , 636 , 636 , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-32038,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-44979,Prod-1, -   , (1), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (1), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (530), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,D,Chemist-45004,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-45233,Prod-1, 80 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 80 , -   , -   , -   , -   , -   , -   , -   , 20 , 30 , 70 , -   , -   , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 42,371 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 12,727 "," 19,091 "," 44,545 ", -   , -   ," 31,818 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
